,0,1,2
0,Loretta+Sanchez,"California elections, June 2016","The California state elections, June 2016 were held on June 7, 2016 and included one propositions, primary elections for each party's nominee for President, and primary elections to determine the top-two candidates for California's Class III seat to the United States Senate, all of California's seats to the House of Representatives, all of the seats of the State Assembly, and all odd-numbered seats of the State Senate, who will compete against each other in a run-off on November 8, 2016."
1,Loretta+Sanchez,"United States Senate election in California, 2016","The 2016 United States Senate election in California was held November 8, 2016, to elect a member of the United States Senate to represent the State of California, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
2,Loretta+Sanchez,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
3,Kamala+Harris,"California Attorney General election, 2014","The 2014 California Attorney General election was held on November 4, 2014, to elect the Attorney General of California. Incumbent Democratic Attorney General Kamala Harris ran for re-election to a second term in office.
"
4,Kamala+Harris,"California Attorney General election, 2010","The 2010 California Attorney General election was held on November 2, 2010 to choose the Attorney General of California. The primary election was held on June 8, 2010. Incumbent Attorney General Jerry Brown, a Democrat was elected Governor of California.
"
5,Kamala+Harris,2020 Republican National Convention,"The 2020 Republican National Convention will be an event in which delegates of the United States Republican Party will choose the party's nominees for President of the United States in the 2020 U.S. presidential election in the city of Charlotte, North Carolina. "
6,Phil+Wyman,"California Attorney General election, 2014","The 2014 California Attorney General election was held on November 4, 2014, to elect the Attorney General of California. Incumbent Democratic Attorney General Kamala Harris ran for re-election to a second term in office.
"
7,Phil+Wyman,"California elections, June 2016","The California state elections, June 2016 were held on June 7, 2016 and included one propositions, primary elections for each party's nominee for President, and primary elections to determine the top-two candidates for California's Class III seat to the United States Senate, all of California's seats to the House of Representatives, all of the seats of the State Assembly, and all odd-numbered seats of the State Senate, who will compete against each other in a run-off on November 8, 2016."
8,Phil+Wyman,"California State Senate election, 1994","The 1994 California State Senate elections were held on November 8, 1994. Senate seats of even-numbered districts were up for election. Senate terms are staggered so that half the membership is elected every two years. Senators serve four-year terms and are limited to two terms. The Democrats lost two seats to the Republicans, but maintained a majority in the Senate."
9,Tom+Del+Beccaro,"California elections, June 2016","The California state elections, June 2016 were held on June 7, 2016 and included one propositions, primary elections for each party's nominee for President, and primary elections to determine the top-two candidates for California's Class III seat to the United States Senate, all of California's seats to the House of Representatives, all of the seats of the State Assembly, and all odd-numbered seats of the State Senate, who will compete against each other in a run-off on November 8, 2016."
10,Tom+Del+Beccaro,"United States Senate election in California, 2016","The 2016 United States Senate election in California was held November 8, 2016, to elect a member of the United States Senate to represent the State of California, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
11,Tom+Del+Beccaro,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
12,Greg+Conlon,"United States House of Representatives elections, 2008","The 2008 United States House of Representatives elections were held on November 4, 2008, to elect members to the United States House of Representatives to serve in the 111th United States Congress from January 3, 2009, until January 3, 2011. "
13,Steve+Stokes,1998 San Francisco 49ers season,"The 1998 San Francisco 49ers season was the team's 49th year with the National Football League.
The season saw the return of Jerry Rice, who missed most of 1997 with a major knee injury.
"
14,Steve+Stokes,2011 Geelong Football Club season,"The 2011 Geelong Football Club season was the club's 112th season in the Australian Football League. Geelong finished the regular season in second position on the ladder with 19 wins and three losses, resulting in qualification for the 2011 AFL finals series. "
15,Steve+Stokes,1997–98 NFL playoffs,"The National Football League playoffs for the 1997 season began on December 27, 1997. The postseason tournament concluded with the Denver Broncos defeating the Green Bay Packers in Super Bowl XXXII, 31–24, on January 25, 1998, at Qualcomm Stadium in San Diego, California."
16,Pamela+Elizondo,2015 Rhythmic Gymnastics World Championships,"The 2015 Rhythmic Gymnastics World Championships, the 34rd edition, was held in Stuttgart, Germany, from September 7 to 13, 2015 at the Porsche Arena."
17,Ron+Unz,"California elections, June 2016","The California state elections, June 2016 were held on June 7, 2016 and included one propositions, primary elections for each party's nominee for President, and primary elections to determine the top-two candidates for California's Class III seat to the United States Senate, all of California's seats to the House of Representatives, all of the seats of the State Assembly, and all odd-numbered seats of the State Senate, who will compete against each other in a run-off on November 8, 2016."
18,Ron+Unz,"United States Senate election in California, 2016","The 2016 United States Senate election in California was held November 8, 2016, to elect a member of the United States Senate to represent the State of California, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
19,Ron+Unz,"California gubernatorial election, 1994","The 1994 California gubernatorial election was held on November 8, 1994, in the midst of that year's Republican Revolution. Incumbent Republican Pete Wilson easily won re-election over his main challenger, Democratic State Treasurer Kathleen Brown, the daughter of Pat Brown and younger sister of Jerry Brown, both of whom had previously served as governor. "
20,Eleanor+García,"United States Senate election in Minnesota, 1984","The 1984 United States Senate election in Minnesota was held on November 6, 1984. Incumbent Republican U.S. Senator Rudy Boschwitz defeated Democratic challenger Joan Growe.
"
21,Eleanor+García,"United States gubernatorial elections, 1992","United States gubernatorial elections were held on November 3, 1992 in 12 states and two territories. Going into the elections, six of the seats were held by Democrats and six by Republicans. "
22,Eleanor+García,"United States Senate elections, 1984","The United States Senate elections, 1984 coincided with the landslide re-election of President Ronald Reagan in the presidential election. "
23,Jarrell+Williamson,1997 Central Texas tornado outbreak,"The 1997 Central Texas tornado outbreak was a deadly tornado outbreak in Central Texas that occurred on May 27, 1997. The storm produced 20 total tornadoes, including multiple in the vicinity of Austin, Texas. "
24,Jarrell+Williamson,November 2004 tornado outbreak,"On November 22–24, 2004, a major tornado outbreak took place in the Southern United States."
25,Mark+Matthew+Herd,"California elections, June 2016","The California state elections, June 2016 were held on June 7, 2016 and included one propositions, primary elections for each party's nominee for President, and primary elections to determine the top-two candidates for California's Class III seat to the United States Senate, all of California's seats to the House of Representatives, all of the seats of the State Assembly, and all odd-numbered seats of the State Senate, who will compete against each other in a run-off on November 8, 2016."
26,Mark+Matthew+Herd,"United States Senate election in California, 2016","The 2016 United States Senate election in California was held November 8, 2016, to elect a member of the United States Senate to represent the State of California, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
27,Mark+Matthew+Herd,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
28,Ling+Ling+Shi,1st Golden Rooster Awards,"The 1st Golden Rooster Award honoring the best in mainland film of 1981. Award ceremony held in Hangzhou, Zhejiang Province, May 22, 1981."
29,Ling+Ling+Shi,2006–07 Hong Kong League Cup,"The Hong Kong League Cup 2006–07 is the 7th staging of the Hong Kong League Cup.
The competition started on 11 January 2007 with 10 Hong Kong First Division clubs and was concluded on 18 March 2007 with the final.
"
30,Paul+Merritt,2013 State of Origin series,The 2013 State of Origin series was the 33rd time the annual best-of-three series between the Queensland and New South Wales rugby league teams was played entirely under 'state of origin' rules. 
31,Alexis+Stuart,Jacobite rising of 1715,"The Jacobite rising of 1715, was the attempt by James Francis Edward Stuart to regain the thrones of England, Ireland and Scotland for the exiled House of Stuart."
32,Alexis+Stuart,1997 AAA Championships,"The 1997 AAA Championships was an outdoor track and field competition organised by the Amateur Athletic Association, held from 24–25 July at Alexander Stadium in Birmingham, England. "
33,Richard Shelby,"United States Senate election in Alabama, 1992","The 1992 United States Senate election in Alabama took place on November 3, 1992 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
34,Richard Shelby,"United States Senate election in Alabama, 2004","The 2004 United States Senate election in Alabama took place on November 2, 2004 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
35,Richard Shelby,"United States Senate election in Alabama, 1998","The 1998 United States Senate election in Alabama was held November 3, 1998 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
36,John Martin,Assassination of Martin Luther King Jr.,"Martin Luther King Jr., an American clergyman and civil rights leader, was shot at the Lorraine Motel in Memphis, Tennessee, on April 4, 1968. King was rushed to St. Joseph's Hospital, and was pronounced dead at 7:05 p.m. CST. "
37,Shadrack McGill,"Alabama State Senate election, 2010","The 2010 Alabama State State elections were held on November 2, 2010. Voters in all 35 districts of the Alabama State Senate voted for their representatives. Other elections were also held on November 2. Republicans gained 9 seats, taking control of the chamber, while the Democrats lost 10 seats."
38,Ron Crumpton,"United States Senate election in Alabama, 2016","The 2016 United States Senate election in Alabama was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Alabama, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
39,Ron Crumpton,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
40,Charles Nana,2002 African Cup of Nations qualification,This page details the process of qualifying for the 2002 African Cup of Nations.
41,Charles Nana,2009 African Nations Championship Final,"The 2009 African Nations Championship final was a football match held on March 8, 2009, and was the culmination of the inaugural tournament organised by CAF, aimed at players playing in their domestic leagues. "
42,Lisa Murkowski,"United States Senate election in Alaska, 2004","The 2004 United States Senate election in Alaska took place on November 2, 2004 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives, various state and local elections, and the presidential election of that year. "
43,Lisa Murkowski,"United States Senate election in Alaska, 2016","The 2016 United States Senate election in Alaska was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Alaska, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
44,Lisa Murkowski,"United States Senate election in Alaska, 2010","The 2010 United States Senate election in Alaska took place on November 2, 2010, alongside 33 other U.S. Senate elections in other states, as well as elections in all states for Representatives to the U.S. House, and various state and local offices.
"
45,Paul Kendall,1964 FA Cup Final,"The 1964 FA Cup Final was the 83rd final of the FA Cup. It took place on 2 May 1964 at Wembley Stadium and was contested between West Ham United and Preston North End.
"
